('consumer', 0.04986162765092526)
('health', 0.04407685352061921)
('aetna', 0.03487053170597771)
('care', 0.02693682024087632)
('healthcare', 0.025160824098042572)
('engagement', 0.021778300341415997)
("aetna's", 0.020252495816104613)
('questions', 0.019734451821591954)
('statistical', 0.019400685436674153)
('boston', 0.01808583261250745)
('wellness', 0.017828398617585745)
('outcome', 0.017709918790603192)
('position', 0.01742545894902413)
('analytic', 0.01684870128581823)
('we', 0.01629870476970082)
('areas', 0.016126859339219812)
('ny', 0.016048850367589858)
('methods', 0.015704935624446477)
('targeting', 0.015635189905826654)
('ma', 0.015612228069631199)
('behavioral', 0.015347173400118213)
('customer', 0.01479813390383529)
('external', 0.014175308891160972)
('grandkids', 0.013966517124469177)
('engagement/analytic', 0.013966517124469177)
('inca', 0.013966517124469177)
('affirmative', 0.013647153060656933)
('data collection', 0.013527423682691206)
('football', 0.013429797188832849)
('economics', 0.013413200509474596)
('business', 0.01315896675387407)
('benefit', 0.012861025900484374)
('analyses/optimization', 0.012835667616645282)
('demonstrated', 0.012712052528669504)
('study', 0.012614523298235177)
('answer', 0.012614523298235177)
('internal', 0.012454472516428707)
('well-versed', 0.012385738929348702)
('marathon', 0.01225702105992396)
('metric', 0.011823158833505045)
('costs.', 0.01181599791782851)
('trail', 0.011720301647469731)
('come', 0.011700813979953885)
('expert', 0.01169509200216696)
('patterns', 0.011542484496622978)
('conduct', 0.011475084871987468)
('develops', 0.011430040019719456)
('develop', 0.011363368821414857)
('consumers', 0.011303989923704596)
('york', 0.011163672341869076)
('team', 0.010985721055364902)
('manipulate ... dataset', 0.010843431297575196)
('segmentation', 0.010806161612425525)
('aetnas', 0.010730326008645758)
('telework', 0.01067624495752983)
('intervention', 0.010623687525642534)
('services', 0.010520647161505813)
('hartford', 0.010427120096990499)
('personal', 0.01035479249005395)
('validates', 0.010292194012747093)
('insight', 0.010269925500053088)
('subject', 0.010105960120998528)
('becoming', 0.010048500688928099)
('pre-employment', 0.010010809245192025)
('applied', 0.009987502850380607)
('testing.', 0.009973864219406195)
('makes', 0.00993763662167833)
('business intelligence tools', 0.00993763662167833)
('solution', 0.009902016956104336)
('specifications', 0.009867225910795977)
('executes', 0.0097993761771747)
('recommendation', 0.009747021435889071)
('pharmacy', 0.009670658830929709)
('verbal', 0.009597945368395675)
('defines', 0.0094371468996701)
('action', 0.009295440120430364)
('actuarial science', 0.009279391625081871)
('concepts', 0.009254348851094232)
('employing', 0.009229637781550826)
('across', 0.009194225799768236)
("bachelor's", 0.009163061579183047)
('the', 0.009143080599830052)
('playing', 0.00913394203437058)
('touch', 0.009065259771873183)
('challenges.', 0.008999016473304382)
('take', 0.008915415383226728)
('achieving', 0.008914199308792873)
('seeking', 0.008814115138956889)
('ct', 0.008813328499283101)
('re-shape', 0.008717632926494428)
('band', 0.008662486430565402)
('affordability', 0.008608923323365918)
('consultation', 0.008608923323365918)
('able', 0.008594899613035915)
('useful', 0.008574050289665937)
('background/experience', 0.008556855211997175)
('heard', 0.00852293332368695)
('interprets', 0.008440732722153538)
('using', 0.008389851623833981)
('vary', 0.008362001589469818)
('multivariate', 0.008346646355025487)
('claim', 0.008316309911139111)
('components', 0.008301324690573932)
('petabyte', 0.008228152590234806)
('healthcare.', 0.008213856360251048)
('partnering', 0.008185588416086726)
('collaborates', 0.008185588416086726)
('lab', 0.008130305909166156)
('excellence.', 0.008130305909166156)
('from', 0.008076614508693698)
('job.', 0.007961176892181038)
('preference', 0.00794878053165013)
('improve', 0.007922822281912887)
('professional', 0.007905374568858183)
('recruit', 0.007876083875514008)
('education', 0.007830696827661451)
('designs', 0.0078061140348155995)
('interacts', 0.0077720892080845455)
('knowledge', 0.00775946330172941)
('partner', 0.007729704449782535)
