"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.8","$46.46M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","1.56","$48.55M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","9.875","$645.18M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","17.15","$137.67M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","44.74","$1.16B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","5.45","$616.4M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","44.68","$2.12B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","44.29","$2.71B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","13.48","$1.07B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","14.4","$1.32B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.2","$363.56M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","29.15","$859.55M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","36.6","$1.93B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","50.4","$1.14B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","5.05","$203.29M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","2.804","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.57","$14.68M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","142.135","$6.23B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.95","$319.51M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","9.15","$520.84M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","48.07","$1.86B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","4.1","$207.41M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","43.08","$3.78B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","26.16","$3.19B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.29","$18.98M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","28.25","$1.55B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","28.53","$1.1B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","28.31","$574.87M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","4.175","$346.53M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.4","$108.91M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","14.51","$436.76M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","22.54","$930.02M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","4.675","$639.18M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","23.04","$2.72B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","24.25","$648.29M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACNB","ACNB Corporation","28.35","$172M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","15.3","$713.89M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"SQZZ","Active Alts Contrarian ETF","24.33","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqzz",
"ATVI","Activision Blizzard, Inc","59.84","$45.1B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","14.15","$475.37M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACXM","Acxiom Corporation","26.03","$2.04B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","17.03","$380.78M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","4.3182","$119.02M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","5.09","$475.9M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","37.55","$435.71M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.67","$17.02M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","4.8","$76.03M","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots",
"ADMA","ADMA Biologics Inc","3.655","$47.1M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","143.04","$70.76B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","20.55","$993.05M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","10.05","$702.63M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"AAAP","Advanced Accelerator Applications S.A.","36.55","$1.61B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ADES","Advanced Emissions Solutions, Inc.","9.72","$216.7M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","80.24","$3.19B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","12.03","$11.37B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","8.35","$336.47M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","4.4647","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"ADVM","Adverum Biotechnologies, Inc.","2.65","$113.6M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm",
"MAUI","AdvisorShares Market Adaptive Unconstrained Income ETF","24.4612","$1.22M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/maui",
"AEGN","Aegion Corp","19.97","$668.82M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","3.595","$48.36M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","4.15","$88.02M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.59","$31.32M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","55.55","$2B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","30.78","$721.96M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","1.09","$15.62M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.72","$15.13M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","1.19","$44.16M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","2.2","$96.66M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AGEN","Agenus Inc.","3.3823","$335.25M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","3.935","$113.35M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","9.88","$229.5M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","49.19","$2.37B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio",
"AGNC","AGNC Investment Corp.","20.925","$6.93B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","26.0912","$9.04B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AGNCP","AGNC Investment Corp.","25.9077","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp",
"AGFS","AgroFresh Solutions, Inc.","7.38","$371.07M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.94","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"AIMT","Aimmune Therapeutics, Inc.","17.7","$891.07M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","19.39","$39.61M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","23.355","$1.39B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","14.39","$137M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","1.6601","$103.25M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AKAM","Akamai Technologies, Inc.","48.44","$8.37B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","5.95","$70.07M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx",
"AKBA","Akebia Therapeutics, Inc.","13.38","$519.99M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","1.35","$12.01M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","33.245","$4.14B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","9.25","$176.44M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","35.11","$1.63B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","2.17","$113.58M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","21.53","$924.32M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ALBO","Albireo Pharma, Inc.","20.15","$177.78M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","13.2","$177.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ADHD","Alcobra Ltd.","1.125","$31.01M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","16.725","$843.11M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","5.25","$79.44M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","101.47","$22.79B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","30.6041","$253.7M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","148.58","$11.94B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","1.39","$90.21M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALJJ","ALJ Regional Holdings, Inc.","3.24","$116.77M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","58.98","$9.04B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"ABTX","Allegiance Bancshares, Inc.","38.55","$504.97M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","138.2","$2.3B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AIQ","Alliance HealthCare Services, Inc.","13.225","$143.24M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","27.065","$1.62B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"AMMA","Alliance MMA, Inc.","1.2199","$11.47M","2016","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/amma",
"ARLP","Alliance Resource Partners, L.P.","21.55","$1.61B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","1.99","$7.99M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","26.96","$255.35M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","0.36","$16.55M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","4.91","$162.59M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.02","$2.18B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","60.45","$842.65M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","71.23","$6.14B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","19.34","$460.11M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","976.59","$675.55B","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","996.21","$689.13B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","24.42","$26.86M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","2.03","$22.04M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","27.4413","$6.86M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/swin",
"ALT","Altimmune, Inc.","4.16","$2.86M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","20.89","$385.05M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","42.4","$1.24B","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","16.75","$587.01M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation plc","2.98","$811.43M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","15.25","$107.23M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AYA","Amaya Inc.","17.8","$2.61B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya",
"AMZN","Amazon.com, Inc.","1003","$479.41B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","16.17","$731.35M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","7.7","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","59.72","$2B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","53.48","$3.56B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","65.54","$9.6B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.28","$10.15M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","60.24","$2.03B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","350.46","$6.87B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ATAX","America First Multifamily Investors, L.P.","5.9","$355.49M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","16.1668","$53.19B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","49.725","$24.49B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ACSF","American Capital Senior Floating, Ltd.","13","$130M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"AETI","American Electric Technologies, Inc.","1.5499","$13.16M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMNB","American National Bankshares, Inc.","35.325","$305.16M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","116.26","$3.13B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"AOBC","American Outdoor Brands Corporation","23.83","$1.36B","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","23","$373.38M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","35.015","$668.22M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","13.73","$89.01M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"AMSWA","American Software, Inc.","11.09","$326.83M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","4.42","$84.83M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","94.6","$1.54B","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","36.1","$274.67M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","43.9","$1.63B","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","52.775","$1.01B","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4.15","$77.48M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","28.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","30.15","$280.72M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","159.53","$117.32B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","8.515","$1.22B","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","11.73","$2.8B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","16.95","$775.26M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"IBUY","Amplify Online Retail ETF","33.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibuy",
"ASYS","Amtech Systems, Inc.","8.25","$108.9M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","13.29","$2.28B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","3.6099","$71.89M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ADI","Analog Devices, Inc.","80.135","$29.41B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","74.7","$932.94M","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANAB","AnaptysBio, Inc.","23.02","$466.6M","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anab",
"AVXL","Anavex Life Sciences Corp.","6.15","$254.46M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/avxl",
"ANCB","Anchor Bancorp","24.959","$62.52M","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corp. II","10.12","$53.74M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","0.45","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.82","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.2635","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ANGI","Angie&#39;s List, Inc.","11.97","$716.6M","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","15.16","$557.72M","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","43.89","$511.25M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","46.59","$682.76M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","128.44","$10.98B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","2.56","$399.17M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","1.6","$2.01M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ABAC","Aoxin Tianli Group, Inc.","2.19","$17.48M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"APOG","Apogee Enterprises, Inc.","55.73","$1.6B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"APEN","Apollo Endosurgery, Inc.","6.98","$74.68M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apen",
"AINV","Apollo Investment Corporation","6.37","$1.4B","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"APPF","AppFolio, Inc.","31.675","$1.07B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appf",
"APPN","Appian Corporation","18.7","$1.1B","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appn",
"AAPL","Apple Inc.","154.45","$805.28B","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","0.6499","$4.33M","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"APDN","Applied DNA Sciences Inc","1.2","$31.62M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdn",
"APDNW","Applied DNA Sciences Inc","0.27","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw",
"AGTC","Applied Genetic Technologies Corporation","4.875","$88.16M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc",
"AMAT","Applied Materials, Inc.","46.57","$50.05B","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AAOI","Applied Optoelectronics, Inc.","73.4","$1.39B","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"AREX","Approach Resources Inc.","2.87","$247.64M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"APTI","Apptio, Inc.","16.84","$650.93M","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apti",
"APRI","Apricus Biosciences, Inc.","0.9099","$11.62M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
